Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,Chrome 125.0.0.0,,,13-06-2024 11:10:20,13-06-2024 11:30:50,20m - 29.641s,FAILED
,,,,,,,
Test Cases/Anna University/Admission,Chrome 125.0.0.0,,,13-06-2024 11:11:30,13-06-2024 11:11:53,23.019s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:11:30,13-06-2024 11:11:33,2.757s,PASSED
"navigateToUrl(""https://cfa.annauniv.edu/cfa/"")",Chrome 125.0.0.0,,,13-06-2024 11:11:33,13-06-2024 11:11:39,5.894s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 11:11:39,13-06-2024 11:11:39,0.345s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_Directors""))",Chrome 125.0.0.0,,,13-06-2024 11:11:39,13-06-2024 11:11:41,1.785s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 11:11:41,13-06-2024 11:11:42,0.325s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_Staff""))",Chrome 125.0.0.0,,,13-06-2024 11:11:42,13-06-2024 11:11:42,0.885s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/li_MUTHURAMAN B         Superintendent""))",Chrome 125.0.0.0,,,13-06-2024 11:11:42,13-06-2024 11:11:43,0.290s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/li_VENKATESH R        Sr. Application Programmer""))",Chrome 125.0.0.0,,,13-06-2024 11:11:43,13-06-2024 11:11:43,0.286s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/li_JEBA JOHNSLY J        Professional Assistant-I""))",Chrome 125.0.0.0,,,13-06-2024 11:11:43,13-06-2024 11:11:43,0.330s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/b_ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 11:11:43,13-06-2024 11:11:44,0.279s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/b_UG Admissions""))",Chrome 125.0.0.0,,,13-06-2024 11:11:44,13-06-2024 11:11:44,0.311s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_B.EB.Tech""))",Chrome 125.0.0.0,,,13-06-2024 11:11:44,13-06-2024 11:11:44,0.303s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_OTHER STATE""))",Chrome 125.0.0.0,,,13-06-2024 11:11:44,13-06-2024 11:11:45,0.417s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/p_EVENT""))",Chrome 125.0.0.0,,,13-06-2024 11:11:45,13-06-2024 11:11:45,0.532s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/th_EVENT""))",Chrome 125.0.0.0,,,13-06-2024 11:11:45,13-06-2024 11:11:45,0.315s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/td_02.07.2023""))",Chrome 125.0.0.0,,,13-06-2024 11:11:45,13-06-2024 11:11:46,0.328s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/td_Commencement of Online Payment of Regist_f04650""))",Chrome 125.0.0.0,,,13-06-2024 11:11:46,13-06-2024 11:11:46,0.297s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/td_Registration of Applications through Online""))",Chrome 125.0.0.0,,,13-06-2024 11:11:46,13-06-2024 11:11:46,0.317s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/p_(CEG AC Tech. MIT  SAP)""))",Chrome 125.0.0.0,,,13-06-2024 11:11:46,13-06-2024 11:11:47,0.280s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/p_(B.E.B.Tech.B.Arch.)""))",Chrome 125.0.0.0,,,13-06-2024 11:11:47,13-06-2024 11:11:47,0.317s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/td_Notification                            _5b9328""))",Chrome 125.0.0.0,,,13-06-2024 11:11:47,13-06-2024 11:11:47,0.324s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/p_For any Queries  044 2235 8314 044 2235 8_12a43c""))",Chrome 125.0.0.0,,,13-06-2024 11:11:47,13-06-2024 11:11:49,1.856s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/b_UG Admissions""))",Chrome 125.0.0.0,,,13-06-2024 11:11:49,13-06-2024 11:11:51,1.984s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Admission/Page_Admissions/a_B.Arch""))",Chrome 125.0.0.0,,,13-06-2024 11:11:51,13-06-2024 11:11:53,2.230s,FAILED
,,,,,,,
Test Cases/Anna University/Departments,Chrome 125.0.0.0,,,13-06-2024 11:12:25,13-06-2024 11:12:36,10.480s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:12:25,13-06-2024 11:12:27,1.799s,PASSED
"navigateToUrl(""https://www.auegov.ac.in/Department/cse"")",Chrome 125.0.0.0,,,13-06-2024 11:12:27,13-06-2024 11:12:34,6.800s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Department/Page_Computer Science and Engineering/i_Photo Gallery_bi bi-list mobile-nav-toggle""))",Chrome 125.0.0.0,,,13-06-2024 11:12:34,13-06-2024 11:12:35,0.931s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Department/Page_Computer Science and Engineering/i_Photo Gallery_bi mobile-nav-toggle bi-x""))",Chrome 125.0.0.0,,,13-06-2024 11:12:35,13-06-2024 11:12:35,0.320s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity Department/Page_Computer Science and Engineering/div_Mission                            Our _19ac26""))",Chrome 125.0.0.0,,,13-06-2024 11:12:35,13-06-2024 11:12:36,0.595s,FAILED
,,,,,,,
Test Cases/Anna University/Home Page,Chrome 125.0.0.0,,,13-06-2024 11:15:45,13-06-2024 11:16:45,1m - 0.077s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:15:45,13-06-2024 11:15:48,2.460s,PASSED
"navigateToUrl(""https://www.annauniv.edu/"")",Chrome 125.0.0.0,,,13-06-2024 11:15:48,13-06-2024 11:15:57,9.404s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/ul_HomeSportsIQACAffiliationLibraryPlacemen_c7c9af""))",Chrome 125.0.0.0,,,13-06-2024 11:15:57,13-06-2024 11:15:58,0.369s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/img""))",Chrome 125.0.0.0,,,13-06-2024 11:15:58,13-06-2024 11:16:02,4.811s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/img""))",Chrome 125.0.0.0,,,13-06-2024 11:16:02,13-06-2024 11:16:05,2.619s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/button_UG Admission 2024-25B.E.(Training In_244dfb""))",Chrome 125.0.0.0,,,13-06-2024 11:16:05,13-06-2024 11:16:06,1.276s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/img_1""))",Chrome 125.0.0.0,,,13-06-2024 11:16:06,13-06-2024 11:16:08,2.000s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/div_Asias oldest technical institution foun_742dfe""))",Chrome 125.0.0.0,,,13-06-2024 11:16:08,13-06-2024 11:16:10,2.103s,PASSED
"click(findTestObject(""Object Repository/AnnaUniversity HomePage/Page_Anna University, Chennai/img_1_2""))",Chrome 125.0.0.0,,,13-06-2024 11:16:10,13-06-2024 11:16:45,35.011s,FAILED
,,,,,,,
Test Cases/Madurai Kamaraj University/Academic,Chrome 125.0.0.0,,,13-06-2024 11:16:45,13-06-2024 11:17:31,45.218s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:16:45,13-06-2024 11:16:48,2.203s,PASSED
"navigateToUrl(""https://mkuniversity.ac.in/new/acollege/afc"")",Chrome 125.0.0.0,,,13-06-2024 11:16:48,13-06-2024 11:16:55,7.438s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Colleges Affiliated to MKU""))",Chrome 125.0.0.0,,,13-06-2024 11:16:55,13-06-2024 11:16:56,0.935s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Colleges Affiliated to MKU""))",Chrome 125.0.0.0,,,13-06-2024 11:16:56,13-06-2024 11:16:57,0.969s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Non Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:16:57,13-06-2024 11:16:58,1.372s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Government Autonomous College""))",Chrome 125.0.0.0,,,13-06-2024 11:16:58,13-06-2024 11:17:00,1.527s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:00,13-06-2024 11:17:01,0.867s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Aided Autonomous Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:01,13-06-2024 11:17:02,1.422s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Self Financing Autonomous Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:02,13-06-2024 11:17:04,1.355s,PASSED
